,co,no,no2,o3,so2,pm2_5,pm10,nh3,date_period,date_day,date_month,date_year,name_month,date_hour
0,407.22,6.26,8.05,0.08,0.57,6.62,8.61,1.27,2021-01-01 00:00:00,1,1,2021,January,0
1,357.15,4.64,6.34,0.07,0.37,6.05,7.84,1.16,2021-01-01 01:00:00,1,1,2021,January,1
2,323.77,3.55,4.97,0.05,0.35,5.67,7.31,1.3,2021-01-01 02:00:00,1,1,2021,January,2
3,307.08,2.96,4.46,0.09,0.44,5.69,7.26,1.69,2021-01-01 03:00:00,1,1,2021,January,3
4,297.07,2.46,4.63,0.11,0.61,5.81,7.32,2.47,2021-01-01 04:00:00,1,1,2021,January,4
5,287.06,2.43,4.46,0.05,0.75,5.82,7.24,3.17,2021-01-01 05:00:00,1,1,2021,January,5
6,283.72,2.93,4.11,0.04,0.87,5.76,7.04,3.64,2021-01-01 06:00:00,1,1,2021,January,6
7,310.42,4.53,4.41,0.64,1.01,5.76,6.92,3.1,2021-01-01 07:00:00,1,1,2021,January,7
8,357.15,7.82,5.57,4.74,0.95,5.9,7.07,1.73,2021-01-01 08:00:00,1,1,2021,January,8
9,370.5,4.75,9.43,28.61,0.79,5.92,7.05,1.09,2021-01-01 09:00:00,1,1,2021,January,9
10,327.11,0.29,1.46,39.34,0.28,3.86,4.73,0.66,2021-01-01 10:00:00,1,1,2021,January,10
11,323.77,0.14,0.8,42.56,0.24,3.63,4.47,0.66,2021-01-01 11:00:00,1,1,2021,January,11
12,323.77,0.11,0.65,42.56,0.24,3.54,4.34,0.68,2021-01-01 12:00:00,1,1,2021,January,12
13,320.44,0.09,0.52,40.77,0.19,3.39,4.16,0.65,2021-01-01 13:00:00,1,1,2021,January,13
14,317.1,0.09,0.55,41.13,0.18,3.31,4.05,0.61,2021-01-01 14:00:00,1,1,2021,January,14
15,320.44,0.1,0.61,40.41,0.18,3.33,4.04,0.62,2021-01-01 15:00:00,1,1,2021,January,15
16,320.44,0.13,0.83,39.7,0.19,3.47,4.17,0.63,2021-01-01 16:00:00,1,1,2021,January,16
17,330.45,0.2,1.46,40.05,0.23,3.76,4.48,0.69,2021-01-01 17:00:00,1,1,2021,January,17
18,337.12,0.17,2.31,38.27,0.27,3.99,4.74,0.76,2021-01-01 18:00:00,1,1,2021,January,18
19,357.15,0.02,5.01,29.68,0.45,4.33,5.15,0.93,2021-01-01 19:00:00,1,1,2021,January,19
20,377.18,0.0,7.71,20.92,0.68,4.87,5.78,1.11,2021-01-01 20:00:00,1,1,2021,January,20
21,380.52,0.01,8.65,16.45,0.75,5.26,6.22,1.2,2021-01-01 21:00:00,1,1,2021,January,21
22,370.5,0.02,8.57,12.88,0.73,5.45,6.45,1.27,2021-01-01 22:00:00,1,1,2021,January,22
23,357.15,0.04,8.31,9.48,0.63,5.5,6.51,1.27,2021-01-01 23:00:00,1,1,2021,January,23
24,330.45,0.04,6.94,7.24,0.42,5.34,6.31,1.11,2021-01-02 00:00:00,2,1,2021,January,0
25,293.73,0.01,4.07,6.62,0.25,4.98,5.83,0.9,2021-01-02 01:00:00,2,1,2021,January,1
26,273.71,0.01,2.55,6.17,0.19,4.74,5.46,0.71,2021-01-02 02:00:00,2,1,2021,January,2
27,267.03,0.01,2.01,5.23,0.19,4.59,5.23,0.59,2021-01-02 03:00:00,2,1,2021,January,3
28,260.35,0.02,1.67,4.34,0.19,4.39,4.96,0.55,2021-01-02 04:00:00,2,1,2021,January,4
29,257.02,0.04,1.5,3.49,0.19,4.16,4.67,0.54,2021-01-02 05:00:00,2,1,2021,January,5
30,257.02,0.14,1.65,2.73,0.21,4.01,4.49,0.58,2021-01-02 06:00:00,2,1,2021,January,6
31,273.71,1.15,2.68,1.88,0.32,4.08,4.61,0.57,2021-01-02 07:00:00,2,1,2021,January,7
32,303.75,2.77,4.03,6.08,0.4,4.23,4.81,0.53,2021-01-02 08:00:00,2,1,2021,January,8
33,320.44,1.59,4.93,20.21,0.38,4.47,5.01,0.59,2021-01-02 09:00:00,2,1,2021,January,9
34,330.45,0.13,0.79,22.71,0.13,5.31,5.67,0.78,2021-01-02 10:00:00,2,1,2021,January,10
35,337.12,0.08,0.57,26.11,0.13,5.15,5.49,0.78,2021-01-02 11:00:00,2,1,2021,January,11
36,337.12,0.07,0.55,29.33,0.13,4.97,5.29,0.77,2021-01-02 12:00:00,2,1,2021,January,12
37,333.79,0.06,0.45,30.76,0.12,4.4,4.74,0.7,2021-01-02 13:00:00,2,1,2021,January,13
38,330.45,0.06,0.44,31.11,0.11,3.94,4.26,0.65,2021-01-02 14:00:00,2,1,2021,January,14
39,330.45,0.06,0.49,31.83,0.13,3.81,4.11,0.64,2021-01-02 15:00:00,2,1,2021,January,15
40,333.79,0.09,0.76,32.19,0.16,3.92,4.19,0.67,2021-01-02 16:00:00,2,1,2021,January,16
41,343.8,0.14,1.41,33.98,0.23,4.26,4.52,0.71,2021-01-02 17:00:00,2,1,2021,January,17
42,350.48,0.12,2.29,35.05,0.29,4.58,4.86,0.76,2021-01-02 18:00:00,2,1,2021,January,18
43,350.48,0.01,2.74,29.68,0.34,4.91,5.21,0.76,2021-01-02 19:00:00,2,1,2021,January,19
44,343.8,0.0,2.51,22.89,0.35,5.11,5.43,0.67,2021-01-02 20:00:00,2,1,2021,January,20
45,337.12,0.0,2.12,18.24,0.34,5.14,5.44,0.55,2021-01-02 21:00:00,2,1,2021,January,21
46,327.11,0.0,2.1,13.77,0.35,5.15,5.46,0.48,2021-01-02 22:00:00,2,1,2021,January,22
47,320.44,0.01,2.51,9.57,0.37,5.17,5.53,0.47,2021-01-02 23:00:00,2,1,2021,January,23
48,313.76,0.02,2.64,6.8,0.34,5.08,5.44,0.49,2021-01-03 00:00:00,3,1,2021,January,0
49,303.75,0.01,2.19,5.54,0.29,4.9,5.19,0.49,2021-01-03 01:00:00,3,1,2021,January,1
50,297.07,0.01,1.56,5.23,0.26,4.66,4.88,0.45,2021-01-03 02:00:00,3,1,2021,January,2
51,297.07,0.01,1.17,5.45,0.24,4.53,4.7,0.42,2021-01-03 03:00:00,3,1,2021,January,3
52,297.07,0.01,1.0,5.14,0.22,4.49,4.66,0.44,2021-01-03 04:00:00,3,1,2021,January,4
53,290.39,0.03,1.16,4.07,0.24,4.45,4.64,0.58,2021-01-03 05:00:00,3,1,2021,January,5
54,293.73,0.11,1.71,3.35,0.32,4.47,4.68,0.89,2021-01-03 06:00:00,3,1,2021,January,6
55,307.08,0.82,3.47,2.17,0.53,4.63,4.91,1.16,2021-01-03 07:00:00,3,1,2021,January,7
56,340.46,2.49,5.14,3.62,0.59,4.71,5.06,0.83,2021-01-03 08:00:00,3,1,2021,January,8
57,347.14,1.62,5.66,14.84,0.54,4.62,4.96,0.65,2021-01-03 09:00:00,3,1,2021,January,9
58,333.79,0.16,1.61,19.49,0.24,2.62,2.76,0.42,2021-01-03 10:00:00,3,1,2021,January,10
59,330.45,0.09,1.07,19.31,0.19,1.83,1.94,0.39,2021-01-03 11:00:00,3,1,2021,January,11
60,327.11,0.07,0.92,18.95,0.18,1.51,1.6,0.4,2021-01-03 12:00:00,3,1,2021,January,12
61,317.1,0.05,0.64,17.7,0.12,1.08,1.14,0.33,2021-01-03 13:00:00,3,1,2021,January,13
62,313.76,0.03,0.61,16.27,0.11,0.92,0.96,0.31,2021-01-03 14:00:00,3,1,2021,January,14
63,317.1,0.03,0.69,15.38,0.13,0.96,1.0,0.31,2021-01-03 15:00:00,3,1,2021,January,15
64,317.1,0.05,0.93,14.48,0.16,1.09,1.13,0.31,2021-01-03 16:00:00,3,1,2021,January,16
65,320.44,0.06,1.59,13.23,0.21,1.22,1.27,0.34,2021-01-03 17:00:00,3,1,2021,January,17
66,320.44,0.04,2.25,11.09,0.24,1.36,1.42,0.34,2021-01-03 18:00:00,3,1,2021,January,18
67,320.44,0.02,2.29,8.94,0.26,1.5,1.57,0.34,2021-01-03 19:00:00,3,1,2021,January,19
68,313.76,0.01,2.04,7.51,0.29,1.56,1.66,0.34,2021-01-03 20:00:00,3,1,2021,January,20
69,307.08,0.01,1.78,6.71,0.29,1.58,1.68,0.32,2021-01-03 21:00:00,3,1,2021,January,21
70,300.41,0.01,1.63,6.17,0.28,1.57,1.67,0.28,2021-01-03 22:00:00,3,1,2021,January,22
71,293.73,0.02,1.56,5.72,0.26,1.56,1.65,0.26,2021-01-03 23:00:00,3,1,2021,January,23
72,287.06,0.02,1.44,5.59,0.24,1.5,1.57,0.25,2021-01-04 00:00:00,4,1,2021,January,0
73,277.04,0.01,1.23,5.54,0.21,1.4,1.46,0.26,2021-01-04 01:00:00,4,1,2021,January,1
74,270.37,0.01,1.04,5.23,0.18,1.28,1.33,0.27,2021-01-04 02:00:00,4,1,2021,January,2
75,263.69,0.01,0.9,4.87,0.17,1.17,1.21,0.27,2021-01-04 03:00:00,4,1,2021,January,3
76,260.35,0.01,0.8,4.65,0.16,1.09,1.13,0.29,2021-01-04 04:00:00,4,1,2021,January,4
77,260.35,0.01,0.87,4.6,0.19,1.07,1.12,0.31,2021-01-04 05:00:00,4,1,2021,January,5
78,263.69,0.02,1.18,4.34,0.25,1.18,1.24,0.32,2021-01-04 06:00:00,4,1,2021,January,6
79,270.37,0.13,1.97,3.98,0.33,1.4,1.5,0.33,2021-01-04 07:00:00,4,1,2021,January,7
80,283.72,0.4,2.68,8.14,0.38,1.48,1.62,0.33,2021-01-04 08:00:00,4,1,2021,January,8
81,293.73,0.43,2.55,20.21,0.41,1.54,1.71,0.36,2021-01-04 09:00:00,4,1,2021,January,9
82,290.39,0.23,1.63,28.61,0.35,1.22,1.36,0.32,2021-01-04 10:00:00,4,1,2021,January,10
83,287.06,0.15,1.27,29.68,0.32,0.98,1.12,0.33,2021-01-04 11:00:00,4,1,2021,January,11
84,280.38,0.11,1.06,26.82,0.29,0.81,0.97,0.34,2021-01-04 12:00:00,4,1,2021,January,12
85,277.04,0.1,0.85,22.71,0.22,0.58,0.7,0.31,2021-01-04 13:00:00,4,1,2021,January,13
86,280.38,0.1,0.69,21.82,0.16,0.5,0.58,0.28,2021-01-04 14:00:00,4,1,2021,January,14
87,287.06,0.1,0.58,21.99,0.13,0.5,0.56,0.27,2021-01-04 15:00:00,4,1,2021,January,15
88,303.75,0.42,2.25,26.46,0.25,0.54,0.64,0.45,2021-01-04 16:00:00,4,1,2021,January,16
89,340.46,0.76,5.4,37.91,0.41,1.05,1.22,0.7,2021-01-04 17:00:00,4,1,2021,January,17
90,363.83,0.66,8.57,38.62,0.49,1.58,1.81,0.85,2021-01-04 18:00:00,4,1,2021,January,18
91,370.5,0.08,11.14,25.39,0.58,1.96,2.27,0.87,2021-01-04 19:00:00,4,1,2021,January,19
92,363.83,0.01,10.71,13.77,0.61,2.1,2.46,0.78,2021-01-04 20:00:00,4,1,2021,January,20
93,337.12,0.05,8.57,7.96,0.54,1.92,2.3,0.64,2021-01-04 21:00:00,4,1,2021,January,21
94,333.79,0.44,8.4,3.35,0.59,2.18,2.67,0.63,2021-01-04 22:00:00,4,1,2021,January,22
95,363.83,1.68,9.43,0.7,0.81,3.05,3.77,1.03,2021-01-04 23:00:00,4,1,2021,January,23
96,400.54,2.54,10.63,0.31,1.07,4.15,5.03,1.95,2021-01-05 00:00:00,5,1,2021,January,0
97,403.88,2.38,10.97,0.15,1.15,4.76,5.69,2.69,2021-01-05 01:00:00,5,1,2021,January,1
98,387.19,1.96,9.08,0.11,0.88,4.87,5.81,2.28,2021-01-05 02:00:00,5,1,2021,January,2
99,357.15,1.43,6.6,0.14,0.59,4.75,5.69,1.57,2021-01-05 03:00:00,5,1,2021,January,3
100,327.11,1.06,4.54,0.14,0.4,4.41,5.31,1.03,2021-01-05 04:00:00,5,1,2021,January,4
101,303.75,1.1,3.26,0.12,0.32,4.09,4.96,0.76,2021-01-05 05:00:00,5,1,2021,January,5
102,293.73,1.61,2.87,0.14,0.34,3.89,4.69,0.65,2021-01-05 06:00:00,5,1,2021,January,6
103,303.75,0.52,4.5,2.24,0.54,2.78,3.18,0.7,2021-01-05 07:00:00,5,1,2021,January,7
104,313.76,1.24,4.71,4.96,0.57,2.24,2.61,0.67,2021-01-05 08:00:00,5,1,2021,January,8
105,320.44,1.17,5.14,16.99,0.6,2.11,2.47,0.74,2021-01-05 09:00:00,5,1,2021,January,9
106,307.08,0.3,3.0,22.71,0.42,1.71,1.92,0.65,2021-01-05 10:00:00,5,1,2021,January,10
107,293.73,0.14,1.59,19.49,0.3,1.14,1.28,0.54,2021-01-05 11:00:00,5,1,2021,January,11
108,273.71,0.08,0.83,16.99,0.18,0.61,0.7,0.43,2021-01-05 12:00:00,5,1,2021,January,12
109,263.69,0.04,0.47,18.24,0.1,0.5,0.55,0.37,2021-01-05 13:00:00,5,1,2021,January,13
110,267.03,0.04,0.49,20.03,0.1,0.5,0.57,0.37,2021-01-05 14:00:00,5,1,2021,January,14
111,270.37,0.04,0.52,21.1,0.1,0.5,0.6,0.38,2021-01-05 15:00:00,5,1,2021,January,15
112,287.06,0.27,1.97,21.28,0.23,0.61,0.76,0.5,2021-01-05 16:00:00,5,1,2021,January,16
113,317.1,0.7,4.41,25.03,0.41,0.97,1.21,0.68,2021-01-05 17:00:00,5,1,2021,January,17
114,343.8,0.81,6.86,24.32,0.54,1.34,1.67,0.84,2021-01-05 18:00:00,5,1,2021,January,18
115,377.18,0.56,10.37,9.12,0.74,1.87,2.37,1.09,2021-01-05 19:00:00,5,1,2021,January,19
116,393.87,2.74,9.17,0.77,0.85,2.43,3.16,1.3,2021-01-05 20:00:00,5,1,2021,January,20
117,387.19,5.76,6.0,0.07,0.78,2.8,3.7,1.25,2021-01-05 21:00:00,5,1,2021,January,21
118,363.83,7.1,4.16,0.04,0.69,2.93,3.93,0.97,2021-01-05 22:00:00,5,1,2021,January,22
119,340.46,7.6,3.21,0.03,0.63,2.89,3.97,0.93,2021-01-05 23:00:00,5,1,2021,January,23
120,317.1,7.38,2.79,0.02,0.51,2.73,3.81,1.08,2021-01-06 00:00:00,6,1,2021,January,0
121,293.73,6.15,2.79,0.03,0.44,2.53,3.54,1.5,2021-01-06 01:00:00,6,1,2021,January,1
122,267.03,4.53,2.61,0.05,0.38,2.34,3.26,1.6,2021-01-06 02:00:00,6,1,2021,January,2
123,250.34,3.21,2.34,0.08,0.35,2.19,3.0,1.44,2021-01-06 03:00:00,6,1,2021,January,3
124,233.65,2.18,2.12,0.12,0.32,2.07,2.77,1.22,2021-01-06 04:00:00,6,1,2021,January,4
125,226.97,1.48,1.97,0.18,0.27,1.96,2.56,0.84,2021-01-06 05:00:00,6,1,2021,January,5
126,226.97,1.27,2.01,0.32,0.26,1.89,2.39,0.58,2021-01-06 06:00:00,6,1,2021,January,6
127,253.68,0.94,3.0,2.12,0.4,1.8,2.2,0.52,2021-01-06 07:00:00,6,1,2021,January,7
128,287.06,1.96,4.2,11.44,0.51,1.91,2.35,0.52,2021-01-06 08:00:00,6,1,2021,January,8
129,307.08,1.22,4.93,38.27,0.54,2.08,2.54,0.65,2021-01-06 09:00:00,6,1,2021,January,9
130,303.75,0.21,1.19,30.4,0.23,1.22,1.52,0.45,2021-01-06 10:00:00,6,1,2021,January,10
131,310.42,0.14,0.8,31.47,0.22,1.1,1.39,0.42,2021-01-06 11:00:00,6,1,2021,January,11
132,310.42,0.12,0.64,31.83,0.22,1.05,1.36,0.4,2021-01-06 12:00:00,6,1,2021,January,12
133,310.42,0.1,0.54,33.26,0.2,1.15,1.6,0.36,2021-01-06 13:00:00,6,1,2021,January,13
134,307.08,0.09,0.48,37.91,0.18,1.4,2.13,0.33,2021-01-06 14:00:00,6,1,2021,January,14
135,303.75,0.08,0.41,39.34,0.16,1.46,2.31,0.31,2021-01-06 15:00:00,6,1,2021,January,15
136,310.42,0.19,0.98,38.98,0.22,1.5,2.36,0.38,2021-01-06 16:00:00,6,1,2021,January,16
137,320.44,0.35,1.95,38.27,0.29,1.6,2.45,0.51,2021-01-06 17:00:00,6,1,2021,January,17
138,327.11,0.32,2.79,31.11,0.33,1.64,2.49,0.61,2021-01-06 18:00:00,6,1,2021,January,18
139,327.11,0.05,3.34,20.92,0.38,1.67,2.53,0.72,2021-01-06 19:00:00,6,1,2021,January,19
140,323.77,0.02,3.51,15.02,0.46,1.77,2.65,0.86,2021-01-06 20:00:00,6,1,2021,January,20
141,320.44,0.02,3.38,13.05,0.49,1.87,2.75,0.97,2021-01-06 21:00:00,6,1,2021,January,21
142,317.1,0.06,3.68,10.55,0.52,2.01,2.92,1.08,2021-01-06 22:00:00,6,1,2021,January,22
143,317.1,0.17,4.41,6.97,0.51,2.17,3.11,0.95,2021-01-06 23:00:00,6,1,2021,January,23
144,313.76,0.26,4.63,4.56,0.4,2.24,3.15,0.71,2021-01-07 00:00:00,7,1,2021,January,0
145,297.07,0.28,4.11,2.59,0.29,2.24,3.09,0.61,2021-01-07 01:00:00,7,1,2021,January,1
146,280.38,0.34,3.43,1.29,0.27,2.27,3.11,0.75,2021-01-07 02:00:00,7,1,2021,January,2
147,270.37,0.38,3.0,0.85,0.33,2.37,3.23,1.09,2021-01-07 03:00:00,7,1,2021,January,3
148,260.35,0.45,3.0,0.6,0.48,2.51,3.42,1.82,2021-01-07 04:00:00,7,1,2021,January,4
149,253.68,0.7,3.0,0.32,0.63,2.6,3.51,2.88,2021-01-07 05:00:00,7,1,2021,January,5
150,250.34,1.34,2.96,0.16,0.74,2.69,3.56,4.05,2021-01-07 06:00:00,7,1,2021,January,6
151,277.04,4.81,3.21,0.45,1.09,3.03,4.0,5.07,2021-01-07 07:00:00,7,1,2021,January,7
152,340.46,11.18,4.93,2.91,1.27,3.66,4.78,4.18,2021-01-07 08:00:00,7,1,2021,January,8
153,377.18,11.18,9.51,11.18,0.86,4.1,5.26,1.84,2021-01-07 09:00:00,7,1,2021,January,9
154,320.44,0.31,1.52,33.26,0.26,2.53,3.2,0.67,2021-01-07 10:00:00,7,1,2021,January,10
155,320.44,0.15,0.87,38.98,0.24,2.44,3.08,0.59,2021-01-07 11:00:00,7,1,2021,January,11
156,323.77,0.12,0.81,43.27,0.27,2.45,3.08,0.62,2021-01-07 12:00:00,7,1,2021,January,12
157,317.1,0.09,0.6,41.84,0.21,2.04,2.6,0.48,2021-01-07 13:00:00,7,1,2021,January,13
158,313.76,0.09,0.6,41.13,0.2,1.82,2.31,0.39,2021-01-07 14:00:00,7,1,2021,January,14
159,317.1,0.1,0.68,41.84,0.22,1.76,2.22,0.37,2021-01-07 15:00:00,7,1,2021,January,15
160,343.8,0.59,3.47,42.92,0.39,2.07,2.59,0.59,2021-01-07 16:00:00,7,1,2021,January,16
161,403.88,1.15,8.4,55.08,0.62,2.94,3.57,0.91,2021-01-07 17:00:00,7,1,2021,January,17
162,467.3,0.99,13.71,57.22,0.81,3.92,4.67,1.19,2021-01-07 18:00:00,7,1,2021,January,18
163,514.03,0.14,18.34,31.83,1.07,4.73,5.66,1.54,2021-01-07 19:00:00,7,1,2021,January,19
164,540.73,0.1,20.05,10.28,1.21,5.48,6.65,1.76,2021-01-07 20:00:00,7,1,2021,January,20
165,534.06,0.62,18.34,2.91,1.07,5.95,7.3,1.71,2021-01-07 21:00:00,7,1,2021,January,21
166,500.68,1.5,16.97,0.97,1.33,6.1,7.61,2.31,2021-01-07 22:00:00,7,1,2021,January,22
167,494.0,2.24,18.68,0.62,1.94,6.19,7.86,3.9,2021-01-07 23:00:00,7,1,2021,January,23
168,487.33,2.32,20.74,0.56,2.24,6.21,7.87,5.38,2021-01-08 00:00:00,8,1,2021,January,0
169,467.3,1.84,21.25,0.32,2.18,6.05,7.59,6.52,2021-01-08 01:00:00,8,1,2021,January,1
170,453.95,1.55,20.91,0.28,2.21,6.08,7.53,7.41,2021-01-08 02:00:00,8,1,2021,January,2
171,447.27,1.02,20.05,0.62,2.27,6.17,7.53,7.85,2021-01-08 03:00:00,8,1,2021,January,3
172,420.57,0.5,16.45,0.95,1.94,6.11,7.37,6.65,2021-01-08 04:00:00,8,1,2021,January,4
173,390.53,0.43,11.82,0.88,1.33,5.98,7.17,4.37,2021-01-08 05:00:00,8,1,2021,January,5
174,360.49,0.96,8.14,0.47,0.8,5.76,6.91,2.25,2021-01-08 06:00:00,8,1,2021,January,6
175,363.83,4.14,5.74,0.97,0.66,5.68,6.89,1.05,2021-01-08 07:00:00,8,1,2021,January,7
176,423.91,9.95,6.94,5.5,0.72,5.97,7.31,0.85,2021-01-08 08:00:00,8,1,2021,January,8
177,453.95,7.94,12.85,25.39,0.72,6.3,7.65,1.0,2021-01-08 09:00:00,8,1,2021,January,9
178,327.11,0.28,1.5,38.62,0.43,3.42,3.89,0.93,2021-01-08 10:00:00,8,1,2021,January,10
179,320.44,0.14,0.9,41.13,0.37,3.02,3.38,0.93,2021-01-08 11:00:00,8,1,2021,January,11
180,317.1,0.12,0.84,44.35,0.38,2.82,3.16,0.93,2021-01-08 12:00:00,8,1,2021,January,12
181,310.42,0.09,0.61,36.12,0.26,2.37,2.62,0.85,2021-01-08 13:00:00,8,1,2021,January,13
182,313.76,0.09,0.6,33.98,0.23,2.39,2.6,0.81,2021-01-08 14:00:00,8,1,2021,January,14
183,317.1,0.1,0.71,36.84,0.26,2.62,2.84,0.81,2021-01-08 15:00:00,8,1,2021,January,15
184,320.44,0.12,0.88,38.98,0.28,2.85,3.06,0.82,2021-01-08 16:00:00,8,1,2021,January,16
185,327.11,0.15,1.34,40.77,0.31,3.05,3.26,0.86,2021-01-08 17:00:00,8,1,2021,January,17
186,330.45,0.12,2.01,40.05,0.34,3.17,3.38,0.9,2021-01-08 18:00:00,8,1,2021,January,18
187,387.19,0.09,10.45,21.99,0.67,3.93,4.32,1.25,2021-01-08 19:00:00,8,1,2021,January,19
188,447.27,0.78,17.31,4.92,1.0,5.16,5.84,1.58,2021-01-08 20:00:00,8,1,2021,January,20
189,467.3,3.1,16.28,0.41,1.16,5.93,6.85,1.84,2021-01-08 21:00:00,8,1,2021,January,21
190,460.63,5.2,13.88,0.17,1.27,6.46,7.59,2.09,2021-01-08 22:00:00,8,1,2021,January,22
191,447.27,5.53,11.82,0.19,0.84,6.72,7.93,1.35,2021-01-08 23:00:00,8,1,2021,January,23
192,403.88,3.63,10.11,0.6,0.45,6.37,7.37,0.93,2021-01-09 00:00:00,9,1,2021,January,0
193,313.76,0.02,3.98,10.91,0.29,4.84,5.19,0.92,2021-01-09 01:00:00,9,1,2021,January,1
194,290.39,0.0,1.48,9.39,0.18,4.5,4.71,0.5,2021-01-09 02:00:00,9,1,2021,January,2
195,290.39,0.01,0.93,8.05,0.17,4.85,5.02,0.4,2021-01-09 03:00:00,9,1,2021,January,3
196,293.73,0.01,0.83,6.88,0.18,5.39,5.54,0.39,2021-01-09 04:00:00,9,1,2021,January,4
197,293.73,0.02,0.94,5.59,0.19,5.87,6.01,0.42,2021-01-09 05:00:00,9,1,2021,January,5
198,297.07,0.07,1.39,4.43,0.23,6.32,6.47,0.46,2021-01-09 06:00:00,9,1,2021,January,6
199,313.76,0.41,2.83,3.22,0.32,6.72,6.91,0.46,2021-01-09 07:00:00,9,1,2021,January,7
200,337.12,1.03,4.41,3.71,0.37,6.95,7.2,0.43,2021-01-09 08:00:00,9,1,2021,January,8
201,333.79,0.63,3.86,9.12,0.31,6.72,6.96,0.46,2021-01-09 09:00:00,9,1,2021,January,9
202,337.12,0.04,0.53,18.42,0.1,3.82,3.9,0.38,2021-01-09 10:00:00,9,1,2021,January,10
203,337.12,0.03,0.4,17.35,0.08,2.22,2.26,0.29,2021-01-09 11:00:00,9,1,2021,January,11
204,337.12,0.03,0.43,16.27,0.08,1.54,1.58,0.27,2021-01-09 12:00:00,9,1,2021,January,12
205,337.12,0.03,0.46,16.09,0.07,1.23,1.26,0.27,2021-01-09 13:00:00,9,1,2021,January,13
206,337.12,0.04,0.55,16.27,0.08,1.14,1.18,0.29,2021-01-09 14:00:00,9,1,2021,January,14
207,337.12,0.05,0.69,16.45,0.1,1.13,1.17,0.31,2021-01-09 15:00:00,9,1,2021,January,15
208,340.46,0.06,0.96,16.63,0.13,1.15,1.2,0.34,2021-01-09 16:00:00,9,1,2021,January,16
209,347.14,0.06,1.56,16.09,0.16,1.2,1.26,0.4,2021-01-09 17:00:00,9,1,2021,January,17
210,350.48,0.03,2.16,14.84,0.19,1.22,1.29,0.46,2021-01-09 18:00:00,9,1,2021,January,18
211,370.5,0.11,5.57,9.66,0.37,1.5,1.65,0.7,2021-01-09 19:00:00,9,1,2021,January,19
212,387.19,0.43,8.14,3.84,0.52,1.9,2.18,0.82,2021-01-09 20:00:00,9,1,2021,January,20
213,373.84,0.73,6.86,1.57,0.47,2.01,2.38,0.8,2021-01-09 21:00:00,9,1,2021,January,21
214,357.15,0.91,5.48,0.96,0.45,2.04,2.48,0.8,2021-01-09 22:00:00,9,1,2021,January,22
215,347.14,0.88,4.8,0.89,0.41,2.08,2.51,0.64,2021-01-09 23:00:00,9,1,2021,January,23
216,337.12,0.48,4.07,1.34,0.33,2.0,2.35,0.5,2021-01-10 00:00:00,10,1,2021,January,0
217,327.11,0.09,2.79,2.59,0.28,1.78,2.01,0.44,2021-01-10 01:00:00,10,1,2021,January,1
218,317.1,0.04,1.86,2.79,0.25,1.6,1.76,0.43,2021-01-10 02:00:00,10,1,2021,January,2
219,310.42,0.03,1.52,2.53,0.25,1.53,1.68,0.46,2021-01-10 03:00:00,10,1,2021,January,3
220,307.08,0.04,1.39,2.12,0.24,1.52,1.66,0.5,2021-01-10 04:00:00,10,1,2021,January,4
221,300.41,0.08,1.37,1.52,0.23,1.54,1.67,0.57,2021-01-10 05:00:00,10,1,2021,January,5
222,297.07,0.25,1.59,1.0,0.25,1.58,1.72,0.68,2021-01-10 06:00:00,10,1,2021,January,6
223,310.42,1.55,2.31,0.69,0.37,1.79,2.01,0.71,2021-01-10 07:00:00,10,1,2021,January,7
224,337.12,3.44,3.64,2.62,0.45,2.02,2.31,0.59,2021-01-10 08:00:00,10,1,2021,January,8
225,340.46,2.04,5.27,7.78,0.43,1.97,2.26,0.6,2021-01-10 09:00:00,10,1,2021,January,9
226,370.5,0.11,1.24,13.05,0.14,1.04,1.11,0.62,2021-01-10 10:00:00,10,1,2021,January,10
227,377.18,0.06,0.76,14.31,0.11,0.76,0.81,0.53,2021-01-10 11:00:00,10,1,2021,January,11
228,380.52,0.06,0.64,15.2,0.1,0.62,0.66,0.49,2021-01-10 12:00:00,10,1,2021,January,12
229,380.52,0.05,0.54,16.09,0.08,0.52,0.56,0.44,2021-01-10 13:00:00,10,1,2021,January,13
230,380.52,0.05,0.53,16.27,0.07,0.5,0.53,0.42,2021-01-10 14:00:00,10,1,2021,January,14
231,380.52,0.06,0.57,16.09,0.08,0.5,0.53,0.4,2021-01-10 15:00:00,10,1,2021,January,15
232,377.18,0.07,0.76,15.2,0.09,0.52,0.55,0.42,2021-01-10 16:00:00,10,1,2021,January,16
233,380.52,0.08,1.46,14.48,0.13,0.58,0.62,0.48,2021-01-10 17:00:00,10,1,2021,January,17
234,387.19,0.05,2.44,13.23,0.19,0.64,0.69,0.53,2021-01-10 18:00:00,10,1,2021,January,18
235,407.22,0.08,5.91,9.03,0.4,0.94,1.06,0.76,2021-01-10 19:00:00,10,1,2021,January,19
236,423.91,0.23,8.74,4.65,0.59,1.36,1.62,0.88,2021-01-10 20:00:00,10,1,2021,January,20
237,423.91,0.4,8.57,2.41,0.6,1.57,1.93,0.81,2021-01-10 21:00:00,10,1,2021,January,21
238,407.22,0.53,6.86,1.45,0.54,1.6,2.02,0.67,2021-01-10 22:00:00,10,1,2021,January,22
239,387.19,0.56,5.14,1.17,0.44,1.49,1.89,0.52,2021-01-10 23:00:00,10,1,2021,January,23
